iter	Passed	Remaining
0	36	7228
1	76	7564
2	111	7339
3	149	7332
4	187	7320
5	226	7309
6	263	7274
7	304	7316
8	343	7283
9	382	7262
10	419	7212
11	459	7201
12	499	7184
13	540	7175
14	576	7105
15	615	7072
16	655	7053
17	694	7024
18	735	7009
19	771	6943
20	807	6886
21	846	6845
22	888	6837
23	926	6796
24	962	6735
25	996	6671
26	1027	6586
27	1061	6522
28	1095	6459
29	1129	6401
30	1165	6353
31	1202	6311
32	1236	6256
33	1268	6194
34	1313	6194
35	1388	6327
36	1429	6295
37	1469	6263
38	1503	6208
39	1537	6150
40	1572	6098
41	1606	6043
42	1641	5991
43	1669	5920
44	1745	6010
45	1807	6052
46	1844	6004
47	1884	5966
48	1915	5903
49	1946	5840
50	1979	5783
51	2011	5724
52	2050	5686
53	2079	5621
54	2114	5574
55	2150	5530
56	2181	5473
57	2212	5416
58	2249	5375
59	2285	5331
60	2319	5286
61	2351	5233
62	2383	5182
63	2415	5132
64	2443	5075
65	2473	5021
66	2503	4969
67	2529	4910
68	2567	4875
69	2607	4843
70	2644	4804
71	2687	4777
72	2741	4769
73	2796	4761
74	2843	4738
75	2893	4721
76	2959	4727
77	3003	4698
78	3040	4656
79	3074	4612
80	3107	4565
81	3149	4531
82	3177	4478
83	3211	4435
84	3240	4384
85	3274	4340
86	3315	4305
87	3348	4261
88	3382	4218
89	3415	4174
90	3447	4129
91	3494	4102
92	3528	4059
93	3563	4018
94	3599	3978
95	3633	3936
96	3664	3891
97	3695	3846
98	3723	3798
99	3754	3754
100	3787	3712
101	3816	3666
102	3847	3623
103	3872	3574
104	3904	3532
105	3939	3493
106	3979	3458
107	4012	3418
108	4042	3375
109	4066	3327
110	4105	3291
111	4133	3247
112	4166	3207
113	4197	3166
114	4222	3121
115	4255	3081
116	4284	3039
117	4319	3001
118	4342	2955
119	4371	2914
120	4399	2872
121	4431	2832
122	4464	2794
123	4495	2755
124	4524	2714
125	4548	2671
126	4586	2636
127	4621	2599
128	4645	2556
129	4682	2521
130	4709	2480
131	4732	2438
132	4763	2399
133	4795	2362
134	4824	2322
135	4856	2285
136	4879	2243
137	4904	2203
138	4942	2169
139	4979	2134
140	5012	2097
141	5041	2059
142	5079	2024
143	5116	1989
144	5149	1953
145	5183	1917
146	5212	1879
147	5247	1843
148	5280	1807
149	5314	1771
150	5345	1734
151	5379	1698
152	5408	1661
153	5440	1625
154	5469	1587
155	5511	1554
156	5553	1520
157	5586	1485
158	5612	1447
159	5644	1411
160	5673	1374
161	5704	1338
162	5732	1301
163	5765	1265
164	5796	1229
165	5821	1192
166	5859	1157
167	5889	1121
168	5929	1087
169	5958	1051
170	5998	1017
171	6029	981
172	6057	945
173	6091	910
174	6125	875
175	6154	839
176	6181	803
177	6209	767
178	6241	732
179	6274	697
180	6300	661
181	6333	626
182	6367	591
183	6395	556
184	6424	520
185	6456	485
186	6498	451
187	6528	416
188	6554	381
189	6586	346
190	6609	311
191	6643	276
192	6681	242
193	6704	207
194	6748	173
195	6779	138
196	6813	103
197	6838	69
198	6870	34
199	6905	0
